threads,length,avg,stdev,min,max,valid
1,2,0.00011678335,3.5120221851108125e-05,8.3542e-05,0.000212917,20
2,2,0.00013555005,6.606247214608784e-06,0.000124834,0.000148459,20
4,2,0.0002120021,2.1214960565104695e-05,0.000183167,0.000289042,20
8,2,0.0003878938,3.440026409415149e-05,0.000336083,0.000486542,20
16,2,0.00072687085,4.2122343040087914e-05,0.000659875,0.000788542,20
32,2,0.001430102,8.08050022943473e-05,0.00127158,0.00153367,20
64,2,0.0029868955,0.00012509648556109334,0.0027135,0.00320721,20
1,4,0.00010412075,4.167762400020701e-05,7.8167e-05,0.000235584,20
2,4,0.0001359064,6.340358950489525e-06,0.000127459,0.000148084,20
4,4,0.0002274624,3.4984304087163974e-05,0.0001695,0.000288916,20
8,4,0.0003843875,3.6150197430486576e-05,0.000341625,0.000490209,20
16,4,0.00072387715,4.565265480523328e-05,0.000651709,0.000836958,20
32,4,0.001451055,9.080248057706008e-05,0.00131687,0.00161775,20
64,4,0.0029198095,0.0001402109336330914,0.00260871,0.00309367,20
1,8,9.041864999999999e-05,8.738224890644191e-06,7.8458e-05,0.000119041,20
2,8,0.0001407562,1.1181107767357541e-05,0.000128583,0.000179333,20
4,8,0.00020725415,2.527309544550031e-05,0.000165542,0.000273709,20
8,8,0.00039656245,4.091840404547748e-05,0.000344625,0.000484083,20
16,8,0.00073169995,4.407141658176741e-05,0.0006365,0.00081675,20
32,8,0.001517502,5.688448448159519e-05,0.00141429,0.00162304,20
64,8,0.002911839,0.00016341388225832234,0.00258338,0.00312637,20
1,16,9.43375e-05,8.284072437991761e-06,7.8042e-05,0.000111959,20
2,16,0.0001392499,7.305483015840695e-06,0.000129583,0.000163584,20
4,16,0.0002046043,1.5227984903494376e-05,0.000168959,0.000232125,20
8,16,0.0003788395,1.8452740616590204e-05,0.000346292,0.000413625,20
16,16,0.00072537915,5.682153753850272e-05,0.000659333,0.000867166,20
32,16,0.0015395875,0.00017185452323572676,0.00133662,0.00219213,20
64,16,0.0029973595,6.673507477331545e-05,0.00291404,0.00315771,20
1,32,9.166454999999999e-05,8.051259244268628e-06,7.3792e-05,0.000107667,20
2,32,0.0001516146,3.421694690831308e-05,0.000129583,0.000244542,20
4,32,0.00028352085,7.076508169048155e-05,0.000177875,0.000405125,20
8,32,0.0005334542,0.00017341561532086949,0.00035925,0.0010485,20
16,32,0.00074377925,4.828876207269305e-05,0.000654,0.000825458,20
32,32,0.0014952914999999999,6.049798546232758e-05,0.00134337,0.00159058,20
64,32,0.0031334175,0.0003626873242292581,0.00254442,0.00399179,20
1,64,0.0001011811,6.723409245629075e-06,9.0791e-05,0.000113083,20
2,64,0.00013853525,4.456647239620954e-06,0.000132125,0.00014625,20
4,64,0.00022571455,4.9626480928161304e-05,0.000166042,0.000388333,20
8,64,0.0004273897,6.831263516255709e-05,0.000354959,0.00058575,20
16,64,0.00072771875,5.238888107511585e-05,0.000668334,0.000878125,20
32,64,0.001476243,9.232465959576395e-05,0.00130092,0.00165904,20
64,64,0.0029903195,0.00013686687079344465,0.00277775,0.00323371,20
1,128,9.86563e-05,4.602276520204001e-06,8.925e-05,0.000105125,20
2,128,0.0001488292,1.4716623542246724e-05,0.000135,0.000180541,20
4,128,0.00021000405,1.564173091941116e-05,0.000175416,0.000250208,20
8,128,0.00039066875,3.0920283148555447e-05,0.000337334,0.000471,20
16,128,0.0009342600999999999,0.00048200367124785526,0.000669791,0.00246833,20
32,128,0.001485688,8.15179563428561e-05,0.001331,0.00162754,20
64,128,0.003140341,0.0006209923197245214,0.00280063,0.00574788,20
1,256,0.00010657505,9.34117650358094e-06,9.4167e-05,0.00013275,20
2,256,0.0001464228,6.9653289838048285e-06,0.000133333,0.000163291,20
4,256,0.00021138325,2.226100940368726e-05,0.00017375,0.000275292,20
8,256,0.0003842187,3.6625162578550593e-05,0.000329375,0.000488542,20
16,256,0.0007358333,5.778351485829628e-05,0.000608375,0.000838167,20
32,256,0.0015221035,0.00010921020996587027,0.00123408,0.00180146,20
64,256,0.0030197935,0.0002256077324933467,0.00262279,0.00369417,20
1,512,0.00011081235,7.233690579321765e-06,9.6875e-05,0.000128834,20
2,512,0.000160423,2.800942154835912e-05,0.000143042,0.000271583,20
4,512,0.00022334165,3.736932656221086e-05,0.000179541,0.000368083,20
8,512,0.0003727271,1.6151675904245647e-05,0.000343583,0.000411125,20
16,512,0.0007356854000000001,5.275701397260144e-05,0.000646875,0.000854667,20
32,512,0.0014944475,6.978881035893783e-05,0.00135187,0.00162208,20
64,512,0.0030208215,0.00013176778379027249,0.00258421,0.00325596,20
1,1024,0.00013025425,9.166564844011833e-06,0.000113042,0.000148834,20
2,1024,0.0001648709,1.3341004865885438e-05,0.000151291,0.000202541,20
4,1024,0.00022298345,2.5760730033123553e-05,0.000186542,0.000312208,20
8,1024,0.000389248,3.6169115745197225e-05,0.000350584,0.000479625,20
16,1024,0.000738075,5.7803298296896524e-05,0.000671458,0.000870083,20
32,1024,0.001487878,0.00011797107087845957,0.00130212,0.00178504,20
64,1024,0.0030107435,7.09025098119353e-05,0.00291708,0.00317296,20
1,2048,0.0001634686,6.8217739967810344e-06,0.000153416,0.00017825,20
2,2048,0.00018219365,9.51680641521812e-06,0.000173083,0.000219083,20
4,2048,0.0002399104,3.311239680463146e-05,0.000212958,0.000335125,20
8,2048,0.00039182075,3.4051608066016196e-05,0.000348834,0.000502583,20
16,2048,0.0007421916,5.127615329750733e-05,0.000666292,0.000859084,20
