Signal_Size,Threads,Avg_Time,Std_Dev
2,1,3.334,0.8963164384829372
2,2,1.92939,0.29428198417593676
2,4,1.762095,0.18080761358852937
2,8,1.7879099999999999,0.24640595067147997
2,16,1.66501,0.1482759337394838
2,32,1.66604,0.19745857233727207
2,64,1.69729,0.23488437446629154
4,1,4.6675,0.7364843586433563
4,2,1.865415,0.2670778720956828
4,4,4.14084,0.4762058084484062
4,8,4.1048,0.8719355003910011
4,16,3.92499,0.4381780146542222
4,32,4.62333,0.9305293666567038
4,64,4.09395,0.4101766352503068
8,1,6.0195,3.7519551324328857
8,2,1.87103,0.2817463512116042
8,4,4.17167,0.4045957424913235
8,8,7.1489527521,2.632784550897586
8,16,6.9150164333,2.568063536885204
8,32,6.4083506292,2.3183016776946603
8,64,7.07666527915,2.014558438605877
16,1,1.68335,0.5285319564107438
16,2,2.04294,0.2379326892874936
16,4,4.18916,0.3655308503072152
16,8,6.8918959125,3.1399531469788897
16,16,0.0001666688,1.842261788814585e-05
16,32,0.00017197475000000002,2.250000806052487e-05
16,64,0.00016259805,1.217077565955692e-05
32,1,2.7603,0.21498766182467796
32,2,2.28916,0.37809269874212764
32,4,4.48021,0.3588273472826377
32,8,8.27688530625,2.0471142247579355
32,16,0.00017048945,1.244331324753644e-05
32,32,0.00031062695,1.4647126628491083e-05
32,64,0.00030574805,4.3558939684880444e-05
64,1,4.9958,0.30137450037069197
64,2,2.6548,0.32230231476870147
64,4,4.57188,0.32299592892986007
64,8,7.88685514165,1.9405140876521654
64,16,0.0001641167,2.1551594067554065e-05
64,32,0.0003137355,2.309757956218744e-05
64,64,0.00062695205,3.8997283628039904e-05
128,1,4.130135,4.123466481298804
128,2,3.47042,0.3178776884937118
128,4,5.09688,0.35392479367649193
128,8,3.7896555124,4.771938525270487
128,16,0.00018214375,2.4734427894131698e-05
128,32,0.0003416439,3.7866504884924355e-05
128,64,0.0006314562,4.580514277102172e-05
256,1,2.292725,0.19100805680169064
256,2,4.792295,0.5771087460007224
256,4,6.8975205125,3.6296026767382203
256,8,0.9253261041999999,2.8495075674597405
256,16,0.0002070937,4.8196647095764705e-05
256,32,0.00036180415,4.606868398983482e-05
256,64,0.00063447495,4.076806036654185e-05
512,1,4.0154164375,0.9891580770287409
512,2,6.36688054375,2.3248198757005225
512,4,0.00012767695,1.5548010888094843e-05
512,8,0.00019717505,5.166517548037963e-05
512,16,0.0002913228,8.593936038467075e-05
512,32,0.000387648,8.242852744682893e-05
512,64,0.00065234165,5.671847610071027e-05
1024,1,8.405205,0.587945140186073
1024,2,0.95677898325,2.947821701309579
1024,4,0.00018872075,1.0995889058978744e-05
1024,8,0.00030810005,6.700220525237642e-05
1024,16,0.00037865835,0.00012123866873727558
1024,32,0.00049000205,0.00011349059004464457
1024,64,0.00069546665,6.046340410379174e-05
2048,1,0.00016079795,1.1164375201010908e-05
2048,2,0.0002118062,1.2881912413596782e-05
2048,4,0.000256702,2.01601242738442e-05
2048,8,0.00042532705,5.409558726674673e-05
2048,16,0.0004485209,8.900990463035707e-05
2048,32,0.0005420083,6.172215550615772e-05
2048,64,0.00072706035,7.026515862470719e-05
4096,1,0.0003251562,1.6599146197446742e-05
4096,2,0.0003776479,2.3688425723391402e-05
4096,4,0.00035498745,3.281122030563229e-05
4096,8,0.0005291395500000001,7.213523144576587e-05
4096,16,0.0005604439,9.555375955858015e-05
4096,32,0.0006582501,9.218041923423869e-05
4096,64,0.0008103582,8.632109193104787e-05
8192,1,0.0006626479,4.5798334308827845e-05
8192,2,0.00074153755,6.0753339966644076e-05
8192,4,0.00050726875,3.7787145224234245e-05
8192,8,0.0006660312,5.931742336349593e-05
8192,16,0.00074307485,0.00013675235013097485
8192,32,0.0007599834,7.869864186910792e-05
8192,64,0.00099821815,0.00012612323872737162
16384,1,0.001352127,7.589479686069604e-05
16384,2,0.00146039,9.613913289438493e-05
16384,4,0.00078145415,4.263659628618415e-05
16384,8,0.0010029172,0.0004217640279555931
16384,16,0.00087607315,0.00010089569693566822
16384,32,0.00101622055,0.0001626390705142347
16384,64,0.0011901955,0.00012163585783091742
32768,1,0.0027279535,0.00012791664758431769
32768,2,0.0028604455000000003,0.00019074743409945602
32768,4,0.0014259505,0.0001734559218231719
32768,8,0.0014166295,9.388220617656441e-05
32768,16,0.001417979,0.00014593272725183304
32768,32,0.0044702455,0.011620117997715711
32768,64,0.0017844155,0.0003731066226397376
65536,1,0.005651469,0.00024976552151125556
65536,2,0.0057005905,0.00022207536844089194
65536,4,0.00263067,0.00015372921018192313
65536,8,0.002394856,0.00019964247526647804
65536,16,0.002347012,0.00021336689857219134
65536,32,0.0026007765,0.0003066474532796494
65536,64,0.0051124895,0.008146406126503997
131072,1,0.011773535,0.00043774151141488696
131072,2,0.011887294999999999,0.0005978274064213025
131072,4,0.005790365,0.0013540452459613475
131072,8,0.0049650475,0.0004535970864321516
131072,16,0.005198018,0.0012305721767005273
131072,32,0.0047038545,0.0005188972182018629
131072,64,0.004760646,0.0003899460182937606
262144,1,0.02383222,0.0010866807518406928
262144,2,0.023260015,0.0011867129166758337
262144,4,0.010876806,0.0015589239257945647
262144,8,0.0097323715,0.001448245031605949
262144,16,0.0098371745,0.0022680088983197647
262144,32,0.008318881,0.0008616298800950626
262144,64,0.009702852,0.002005922653322301
524288,1,0.049337765,0.0012678412852167263
524288,2,0.046641885,0.002416977444807984
524288,4,0.020640025,0.0005426645051333087
524288,8,0.01963182,0.007530789989216551
524288,16,0.01634918,0.0013722830027290095
524288,32,0.016658415,0.002742499559904969
524288,64,0.01676404,0.003712529956554666
1048576,1,0.105372105,0.016231629920214905
1048576,2,0.092992215,0.005392428472870671
1048576,4,0.049320255,0.016145274667399227
1048576,8,0.044635165,0.00584037217670199
1048576,16,0.03651032,0.004113556456605915
1048576,32,0.043564295,0.010130622569556907
1048576,64,0.042290225,0.012406329318235109
