threads,length,avg,stdev,min,max,valid
1,2,1.0419999999999999e-07,1.1833164812242082e-07,0.0,5.42e-07,20
2,2,5.84e-08,2.4883729623993263e-08,0.0,8.4e-08,20
4,2,6.68e-08,4.358367632618046e-08,0.0,1.67e-07,20
8,2,8.35e-08,3.808508479983373e-08,4.2e-08,1.67e-07,20
16,2,7.285000000000001e-08,2.977861295416031e-08,4.1e-08,1.66e-07,20
32,2,1.082e-07,8.692198559022549e-08,0.0,3.33e-07,20
64,2,5.6250000000000004e-08,4.728733556950696e-08,0.0,2.08e-07,20
1,4,6.045e-08,2.8757561934577357e-08,0.0,8.4e-08,20
2,4,7.085e-08,3.337549526539683e-08,0.0,1.25e-07,20
4,4,5.855e-08,2.8509416726851202e-08,0.0,8.4e-08,20
8,4,5.83e-08,3.415460206334226e-08,0.0,8.4e-08,20
16,4,6.03e-08,2.5267203623419994e-08,0.0,8.4e-08,20
32,4,6.245000000000001e-08,3.439319853202313e-08,0.0,1.25e-07,20
64,4,5e-08,3.1947325067169053e-08,0.0,8.4e-08,20
1,8,7.495e-08,3.200242589488951e-08,0.0,1.25e-07,20
2,8,5.415e-08,1.9607396563542037e-08,4.1e-08,8.4e-08,20
4,8,6.265e-08,2.139669182496751e-08,4.1e-08,8.4e-08,20
8,8,1.4985e-07,1.1891008323408423e-07,0.0,4.58e-07,20
16,8,9.170000000000001e-08,5.344460979172244e-08,0.0,2.92e-07,20
32,8,7.91e-08,2.2980311939617034e-08,0.0,1.25e-07,20
64,8,7.295e-08,4.242327439656581e-08,0.0,2.08e-07,20
1,16,1.209e-07,5.704744101461335e-08,4.2e-08,2.5e-07,20
2,16,8.534999999999999e-08,3.943452267933984e-08,0.0,1.67e-07,20
4,16,8.339999999999999e-08,4.4902701829388254e-08,0.0,1.67e-07,20
8,16,7.715e-08,2.4516965125140763e-08,4.1e-08,1.25e-07,20
16,16,7.92e-08,3.3022480381193596e-08,0.0,1.67e-07,20
32,16,8.53e-08,2.5212987463648674e-08,4.1e-08,1.25e-07,20
64,16,9.375e-08,3.534473086614184e-08,4.1e-08,1.66e-07,20
1,32,1.7925e-07,1.1473396000725926e-07,4.2e-08,5.42e-07,20
2,32,1.4175e-07,3.430800888545138e-08,8.3e-08,1.67e-07,20
4,32,1.52e-07,2.4475551711431297e-08,8.3e-08,1.67e-07,20
8,32,1.6035e-07,7.787255107241778e-08,8.4e-08,4.58e-07,20
16,32,1.522e-07,2.459910139565436e-08,1.25e-07,2.09e-07,20
32,32,1.52e-07,2.0331463819721188e-08,1.25e-07,1.67e-07,20
64,32,1.5215e-07,2.04431818514273e-08,1.25e-07,1.67e-07,20
1,64,3.1885e-07,7.199727699529229e-08,2.5e-07,5.84e-07,20
2,64,1.26104e-05,1.3117095875632164e-06,1.0875e-05,1.6083e-05,20
4,64,1.9548e-05,1.1752812877193095e-06,1.7792e-05,2.325e-05,20
8,64,3.742905e-05,2.9465905270686198e-06,3.4042e-05,4.5125e-05,20
16,64,3.8056199999999997e-05,3.985061745542906e-06,3.3291e-05,4.5708e-05,20
32,64,3.76291e-05,2.42894401790269e-06,3.5208e-05,4.4875e-05,20
64,64,3.760615e-05,3.6135500298765824e-06,3.2541e-05,4.5875e-05,20
1,128,6.728999999999999e-07,1.1260265491868671e-07,5.83e-07,9.17e-07,20
2,128,2.10063e-05,1.5669036883041187e-06,1.9e-05,2.5875e-05,20
4,128,3.195635e-05,1.7956346561650701e-06,2.875e-05,3.6666e-05,20
8,128,6.450835e-05,7.055503833514432e-06,5.0958e-05,7.7583e-05,20
16,128,0.0001104479,6.322059240635542e-06,9.925e-05,0.000122,20
32,128,0.00016092495,1.1587753901039349e-05,0.000133125,0.000184875,20
64,128,0.00024750625,1.5780242730022285e-05,0.000218792,0.000286833,20
1,256,8.2515e-07,8.729096836382749e-08,7.5e-07,1.084e-06,20
2,256,1.154575e-05,1.1646537264919471e-06,1.0042e-05,1.5208e-05,20
4,256,2.02313e-05,3.009423989299019e-06,1.8083e-05,2.975e-05,20
8,256,3.678745e-05,2.937733273604345e-06,3.4042e-05,4.5916e-05,20
16,256,7.149375e-05,2.2859804961869992e-06,6.825e-05,7.725e-05,20
32,256,7.18812e-05,4.0989226132574985e-06,6.7416e-05,8.4167e-05,20
64,256,7.154185e-05,2.5035515882967446e-06,6.7583e-05,7.8208e-05,20
1,512,1.51865e-06,1.3018297851384734e-07,1.333e-06,1.792e-06,20
2,512,1.283955e-05,1.907523124644268e-06,1.0416e-05,1.8791e-05,20
4,512,2.03062e-05,1.7081253682573215e-06,1.7792e-05,2.4291e-05,20
8,512,3.69917e-05,2.169044759432376e-06,3.4666e-05,4.2459e-05,20
16,512,7.026265e-05,2.046901773669815e-06,6.6417e-05,7.2917e-05,20
32,512,0.000136127,4.31877052436284e-06,0.000128083,0.0001485,20
64,512,0.00013758960000000002,4.778989613539224e-06,0.000132791,0.000151125,20
1,1024,3.2896e-06,9.682734172362245e-07,2.875e-06,7.333e-06,20
2,1024,1.276865e-05,6.253129974155678e-07,1.1833e-05,1.4458e-05,20
4,1024,2.076455e-05,1.2764919227897086e-06,1.8416e-05,2.4042e-05,20
8,1024,3.8698e-05,1.9699503333306333e-06,3.5542e-05,4.3125e-05,20
16,1024,7.84729e-05,7.789357604078178e-06,6.8791e-05,9.9375e-05,20
32,1024,0.0001462166,6.713229596926704e-06,0.000135292,0.000160375,20
64,1024,0.0001521563,9.930614785124149e-06,0.000136417,0.000173833,20
1,2048,1.090615e-05,1.7208835024333776e-06,9.916e-06,1.8e-05,20
2,2048,2.13979e-05,1.0229236685007086e-06,1.9208e-05,2.3708e-05,20
4,2048,2.84353e-05,1.0258754464256113e-06,2.6666e-05,3.0375e-05,20
8,2048,5.051035e-05,5.678204259085326e-06,4.425e-05,6.7042e-05,20
16,2048,8.469165e-05,5.057977120871858e-06,7.6292e-05,9.8208e-05,20
32,2048,0.0001612459,1.4712790961751971e-05,0.000146584,0.000211917,20
64,2048,0.0003000855,2.041548150043826e-05,0.000276959,0.000354875,20
1,4096,1.88854e-05,5.552681097309754e-07,1.8208e-05,2.075e-05,20
2,4096,2.988735e-05,1.5147782285136491e-06,2.8333e-05,3.5333e-05,20
4,4096,3.302495e-05,2.02767796869642e-06,3.0834e-05,3.875e-05,20
8,4096,4.820825e-05,1.8679969253609325e-06,4.5166e-05,5.1625e-05,20
16,4096,8.20312e-05,3.4888981611602495e-06,7.8167e-05,9.0833e-05,20
32,4096,0.0001480771,4.443013876330249e-06,0.000138166,0.000154625,20
64,4096,0.00028294585,6.4900128965487095e-06,0.000271667,0.000295875,20
1,8192,4.42603e-05,1.8075172882626663e-06,4.2291e-05,4.8e-05,20
2,8192,5.08668e-05,1.4349183948921968e-06,4.8167e-05,5.3083e-05,20
4,8192,5.43375e-05,2.517481458667937e-06,5.0375e-05,6.0417e-05,20
8,8192,8.681455e-05,1.3339231894066623e-05,6.7625e-05,0.000112541,20
16,8192,0.00012651255,8.976662294234803e-06,0.000112084,0.0001455,20
32,8192,0.00024639165,1.4587548487359095e-05,0.000217167,0.000270875,20
64,8192,0.00054795005,2.909035519942903e-05,0.000508833,0.0006095,20
1,16384,0.0001472687,1.6127649102999283e-05,0.000136541,0.000197334,20
2,16384,0.0001059562,8.81157169563798e-06,9.825e-05,0.000139792,20
4,16384,8.4873e-05,1.0548387584440523e-05,7.8208e-05,0.000117542,20
8,16384,0.00012298945,1.6032071906929164e-05,9.3583e-05,0.000163375,20
16,16384,0.0001535563,1.2033179363305182e-05,0.000129708,0.000175541,20
32,16384,0.00030864795,7.987242375548845e-05,0.000240792,0.000519375,20
64,16384,0.00058708545,4.340780931980717e-05,0.000542292,0.000746958,20
1,32768,0.00033686235,7.656736024917081e-06,0.000328125,0.000358583,20
2,32768,0.00020695,2.8202111156511137e-06,0.000203875,0.000215041,20
4,32768,0.0001388604,3.4294583337836155e-06,0.000131542,0.000144167,20
8,32768,0.00017455415,6.242722417891263e-06,0.000162167,0.000185042,20
16,32768,0.00019805025,5.635365965559778e-06,0.000191333,0.000212292,20
32,32768,0.0002980543,1.1820896738180943e-05,0.000283584,0.00032725,20
64,32768,0.000504975,1.0020896304065932e-05,0.000489667,0.000522667,20
1,65536,0.00048176855,0.00021800186074519132,0.000392417,0.00126508,20
2,65536,0.00023491665,5.546548251176724e-06,0.000221958,0.000243875,20
4,65536,0.00016493954999999999,2.2302774180699207e-05,0.000150792,0.000228625,20
8,65536,0.00020515215,1.2234488978100525e-05,0.000183125,0.000236375,20
16,65536,0.0002223228,1.090173524864638e-05,0.000206708,0.000241292,20
32,65536,0.0003460147,1.7461316979028394e-05,0.00032325,0.000401459,20
64,65536,0.0005783438,2.266257760134187e-05,0.000548208,0.000619375,20
1,131072,0.0013057875,1.815433017071599e-05,0.00127821,0.00134271,20
2,131072,0.00071172095,7.593952805219072e-06,0.000697042,0.000724791,20
4,131072,0.00040764795,5.700624051480305e-06,0.000399167,0.000422333,20
8,131072,0.00042651025,1.4349250187177393e-05,0.000405541,0.00046025,20
16,131072,0.00065643775,0.00039281601186130186,0.00041675,0.00222492,20
32,131072,0.0005639229,2.9341577656252482e-05,0.000486042,0.000609167,20
64,131072,0.00081509805,6.236623494494352e-05,0.000715792,0.000919,20
1,262144,0.003088322,7.06369000482117e-05,0.00297138,0.00324179,20
2,262144,0.001609516,2.752813401059472e-05,0.00157258,0.00166867,20
4,262144,0.0008822105,1.7176749093499988e-05,0.000857666,0.000932667,20
8,262144,0.0007958855,2.9964093014104295e-05,0.00076075,0.000889375,20
16,262144,0.0008269939499999999,3.0041788130036466e-05,0.000786584,0.00088575,20
32,262144,0.0008682855,3.2539011993702514e-05,0.000810417,0.00093,20
64,262144,0.00106967265,3.8826257005814726e-05,0.000976583,0.00113787,20
1,524288,0.0050852005,0.00010776270038595765,0.00495004,0.00526792,20
2,524288,0.002634816,2.2248965061678484e-05,0.00258221,0.00266392,20
4,524288,0.0017852475,4.524499808062534e-05,0.00174054,0.00192492,20
8,524288,0.0019740310000000002,0.0005183447041953534,0.00154571,0.00297946,20
16,524288,0.0015638685,0.00014352671397320905,0.00146242,0.00210679,20
32,524288,0.0016874625,0.00026196004136579387,0.00147942,0.00261254,20
64,524288,0.0017875669999999999,0.00010046729952943321,0.00166629,0.00210317,20
1,1048576,0.011559205,0.00012308012142289138,0.0113464,0.0117628,20
2,1048576,0.007239421,0.00015459410296848837,0.00705342,0.00755142,20
4,1048576,0.005035541,0.0002236081251442494,0.00479563,0.00582683,20
8,1048576,0.0043706055,0.00027707922246316037,0.00408025,0.00516346,20
16,1048576,0.0042886075,0.00013535240463615514,0.00403421,0.00466896,20
32,1048576,0.003857197,0.0002765844017579254,0.00350946,0.0047365,20
64,1048576,0.0039181265,0.0001642939213494171,0.00360387,0.00432142,20
1,2097152,0.0254192,0.00047031784996957095,0.0248502,0.0268417,20
2,2097152,0.01406254,0.0009463028770736641,0.0133209,0.0171008,20
4,2097152,0.0116969455,0.0023921996997554916,0.00920008,0.0187569,20
8,2097152,0.0098133195,0.0022721787168300664,0.00822621,0.0177408,20
16,2097152,0.007752327,0.0003197826410992646,0.00716583,0.00847925,20
32,2097152,0.007053788,0.00029019714463392676,0.00648217,0.00783563,20
64,2097152,0.007304748,0.0007086036845322152,0.00676608,0.00940246,20
1,4194304,0.05847554,0.0034015771036388395,0.0564289,0.0722457,20
2,4194304,0.036230215,0.0005596984688910156,0.0352665,0.0374073,20
4,4194304,0.023817539999999998,0.0004194584634100446,0.0232991,0.0249025,20
8,4194304,0.02204861,0.002113644726632424,0.0204076,0.0277207,20
16,4194304,0.02162774,0.0014824481407100679,0.0197345,0.0248081,20
32,4194304,0.020131605,0.0009597342447261115,0.0185267,0.022392,20
64,4194304,0.020403865,0.0028627508330045805,0.0178923,0.0276171,20
1,8388608,0.12268995,0.006180692845466437,0.115903,0.142689,20
2,8388608,0.06529849,0.004186382559768857,0.0625434,0.0825602,20
4,8388608,0.04296036,0.0009705291722072355,0.0413395,0.0451402,20
8,8388608,0.0351054,0.0018118158265877035,0.0339505,0.0417371,20
16,8388608,0.0347723,0.0009807662745339274,0.0327699,0.0374666,20
32,8388608,0.032685765,0.0006170584534923055,0.0319646,0.0346951,20
64,8388608,0.033307005,0.001730673231790693,0.0311907,0.0372359,20
1,16777216,0.28771975,0.1545094847832548,0.238658,0.94169,20
2,16777216,0.16105555,0.02213936694401127,0.145608,0.216874,20
4,16777216,0.103989465,0.007836487486332595,0.0956797,0.122726,20
8,16777216,0.085353595,0.008223451218345007,0.0791408,0.114105,20
16,16777216,0.08207465,0.003877410758347299,0.0762209,0.0930483,20
32,16777216,0.08037686,0.003654450374888995,0.0740225,0.0914051,20
64,16777216,0.078570645,0.006125401022014805,0.0742811,0.103553,20
1,33554432,0.545626,0.0071917080176079375,0.534323,0.562796,20
2,33554432,0.2920277,0.0059613380615605475,0.284036,0.303676,20
4,33554432,0.2020647,0.02243262918654549,0.180447,0.267835,20
8,33554432,0.1715352,0.014585029396069467,0.155643,0.19863,20
16,33554432,0.15786625,0.005574196141007333,0.150333,0.168887,20
32,33554432,0.1583037,0.010370127432095266,0.143625,0.182525,20
64,33554432,0.15230665,0.014532885439128803,0.134976,0.185689,20
