threads,length,avg,stdev,min,max,valid
1,2,2.655e-05,1.0884440850662883e-05,1.6e-05,5.9e-05,20
2,2,2.76e-05,4.333468283998517e-06,2.3e-05,4.2e-05,20
4,2,4.49e-05,8.668758182176535e-06,3.8e-05,7.2e-05,20
8,2,0.0001097,1.5134832602137921e-05,8.5e-05,0.000142,20
16,2,0.00019705,2.3150480272385396e-05,0.000162,0.000257,20
32,2,0.00040155,7.65571509946723e-05,0.0003,0.000601,20
64,2,0.0006873,6.517837872048965e-05,0.000577,0.000825,20
1,4,1.725e-05,4.7114083267164e-06,1.4e-05,3e-05,20
2,4,2.935e-05,2.277463963548745e-06,2.6e-05,3.5e-05,20
4,4,4.74e-05,8.022337236544104e-06,4.2e-05,7.9e-05,20
8,4,0.00010865,2.689213346139096e-05,7.8e-05,0.000165,20
16,4,0.000227,2.4261730749214253e-05,0.000177,0.000286,20
32,4,0.00042665,2.5035290880548692e-05,0.000387,0.000476,20
64,4,0.00068595,4.9962591269026355e-05,0.000622,0.000774,20
1,8,1.5e-05,1.6543403837370223e-06,1.2e-05,1.8e-05,20
2,8,3.265e-05,4.068815940527998e-06,2.7e-05,4.4e-05,20
4,8,4.9749999999999996e-05,3.306691779757495e-06,4.4e-05,5.7e-05,20
8,8,0.0001193,1.9636432305391185e-05,8.6e-05,0.000156,20
16,8,0.0002689,2.679336131444347e-05,0.000197,0.000304,20
32,8,0.0004487,3.390870094828169e-05,0.000378,0.000511,20
64,8,0.0008206,0.00011093212718642539,0.000677,0.001125,20
1,16,1.655e-05,2.3277502126799555e-06,1.4e-05,2.3e-05,20
2,16,3.185e-05,2.6011131220468303e-06,2.6e-05,3.7e-05,20
4,16,6.255e-05,1.1789714518216827e-05,5.2e-05,0.000102,20
8,16,0.0001795,5.5529508513847604e-05,0.000118,0.000392,20
16,16,0.0003352,3.702147314308563e-05,0.000281,0.000454,20
32,16,0.0005551,6.221346951805278e-05,0.000438,0.000655,20
64,16,0.00093445,0.00010192488204038976,0.000793,0.001179,20
1,32,1.655e-05,2.41650029675366e-06,1.3e-05,2.2e-05,20
2,32,3.44e-05,2.722228189514882e-06,3.1e-05,4e-05,20
