threads,length,avg,stdev,min,max,valid
1,2,4.0835000000000003e-07,1.928561708413266e-07,2.5e-07,9.59e-07,20
2,2,2.709e-07,4.3805671346359514e-08,2.08e-07,3.75e-07,20
4,2,2.4155e-07,3.455502857761805e-08,1.66e-07,2.91e-07,20
8,2,2.4165e-07,3.728591521854078e-08,1.66e-07,2.92e-07,20
16,2,2.3965e-07,2.664044214900978e-08,2.08e-07,2.92e-07,20
32,2,2.479e-07,3.6960718835570625e-08,2.08e-07,3.33e-07,20
64,2,2.583e-07,3.741390115986303e-08,2.08e-07,3.34e-07,20
1,4,5.376e-07,5.564871020399685e-08,4.58e-07,6.25e-07,20
2,4,5.1455e-07,6.082024853269629e-08,3.75e-07,5.84e-07,20
4,4,5.0625e-07,6.950643665763701e-08,4.16e-07,6.67e-07,20
8,4,5.063e-07,5.457211549384616e-08,3.75e-07,5.84e-07,20
16,4,6.646e-07,6.321266861701229e-07,4.16e-07,3.334e-06,20
32,4,4.9585e-07,7.017817549487501e-08,3.75e-07,6.25e-07,20
64,4,4.708e-07,6.636152975616932e-08,3.33e-07,6.25e-07,20
1,8,1.0792e-06,1.0629878446599174e-07,9.16e-07,1.375e-06,20
2,8,1.02705e-06,6.093523308873898e-08,9.17e-07,1.167e-06,20
4,8,1.00415e-06,7.745713585420547e-08,9.16e-07,1.208e-06,20
8,8,1.00195e-06,6.702668361025685e-08,9.16e-07,1.084e-06,20
16,8,9.917e-07,8.180599643443981e-08,8.33e-07,1.125e-06,20
32,8,1.1188e-06,5.459070289074196e-07,8.75e-07,3.417e-06,20
64,8,1.0041e-06,8.339500174344667e-08,8.33e-07,1.209e-06,20
1,16,1.6623e-06,9.556981465758011e-08,1.5e-06,1.833e-06,20
2,16,1.68535e-06,9.60571512995752e-08,1.583e-06,1.958e-06,20
4,16,1.62495e-06,9.923097723042571e-08,1.459e-06,1.875e-06,20
8,16,1.73745e-06,6.059375923224055e-07,1.459e-06,4.291e-06,20
16,16,1.5959e-06,8.112297357780507e-08,1.5e-06,1.75e-06,20
32,16,1.5897e-06,9.668783192369793e-08,1.375e-06,1.75e-06,20
64,16,1.65835e-06,1.0624711760796148e-07,1.458e-06,1.917e-06,20
1,32,2.9687e-06,2.150792020579738e-07,2.5e-06,3.417e-06,20
2,32,2.9835e-06,2.1717262112987692e-07,2.709e-06,3.417e-06,20
4,32,2.9186e-06,1.8848772122510155e-07,2.416e-06,3.333e-06,20
8,32,2.9501e-06,2.0706213153493201e-07,2.542e-06,3.417e-06,20
16,32,3.1043e-06,5.695971891562816e-07,2.75e-06,5.459e-06,20
32,32,3.05225e-06,1.4672346886503696e-07,2.834e-06,3.459e-06,20
64,32,2.9604e-06,1.2918709402706562e-07,2.709e-06,3.25e-06,20
1,64,5.6437e-06,4.103322273988546e-07,5.042e-06,6.875e-06,20
2,64,5.423e-06,1.7431459763131836e-07,5.125e-06,5.792e-06,20
4,64,5.52915e-06,2.684352857423535e-07,5.166e-06,6.083e-06,20
8,64,5.5356e-06,5.266718143208349e-07,5.084e-06,7.25e-06,20
16,64,5.52705e-06,2.077193133964552e-07,4.917e-06,5.792e-06,20
32,64,5.47715e-06,2.7525017806772774e-07,4.917e-06,6.042e-06,20
64,64,5.55615e-06,5.315396974826997e-07,5.125e-06,7.625e-06,20
1,128,1.254585e-05,2.2099080779882894e-06,1e-05,1.8875e-05,20
2,128,1.181675e-05,1.4511933700814721e-06,9.959e-06,1.4084e-05,20
4,128,1.228975e-05,1.6391174735525404e-06,1.0083e-05,1.55e-05,20
8,128,1.13001e-05,1.7940524225163664e-06,9.666e-06,1.6375e-05,20
16,128,1.23458e-05,1.8723933909641734e-06,9.583e-06,1.6125e-05,20
32,128,1.242095e-05,1.948644345908741e-06,1.0167e-05,1.675e-05,20
64,128,1.295415e-05,2.417658137754929e-06,1.0083e-05,1.85e-05,20
1,256,2.53334e-05,1.3116727929592323e-06,2.3375e-05,2.825e-05,20
2,256,2.55709e-05,1.2807897193775242e-06,2.3583e-05,2.8958e-05,20
4,256,2.43812e-05,7.11546322048715e-07,2.2834e-05,2.5791e-05,20
8,256,2.5258300000000002e-05,2.073348171944419e-06,2.2666e-05,3.325e-05,20
16,256,2.5012600000000002e-05,8.921889934313245e-07,2.3e-05,2.6375e-05,20
32,256,2.52166e-05,1.736750122923181e-06,2.3625e-05,3e-05,20
64,256,2.588955e-05,1.7980663729626186e-06,2.3333e-05,3.0375e-05,20
1,512,4.47855e-05,2.6728735867089403e-06,3.9e-05,4.9541e-05,20
2,512,4.553555e-05,3.181610573196173e-06,4.0667e-05,5.1834e-05,20
4,512,4.4606250000000003e-05,2.1868130349895022e-06,4.1e-05,4.7958e-05,20
8,512,4.57312e-05,3.237883203901164e-06,4.1916e-05,5.475e-05,20
16,512,4.41959e-05,2.738226738910459e-06,4.1125e-05,4.9834e-05,20
32,512,4.38686e-05,2.2237198659240477e-06,4.0208e-05,4.8791e-05,20
64,512,4.381875e-05,2.8058474632171477e-06,4.0584e-05,5.1541e-05,20
1,1024,8.424165e-05,4.763712873876515e-06,7.7167e-05,9.425e-05,20
2,1024,8.2598e-05,5.3625600916765586e-06,7.8042e-05,9.7333e-05,20
4,1024,8.44875e-05,4.837631265728909e-06,7.95e-05,9.8166e-05,20
8,1024,8.417495e-05,3.6930737087717383e-06,7.75e-05,8.8542e-05,20
16,1024,8.1527e-05,4.140359531807784e-06,7.6666e-05,9.4e-05,20
32,1024,8.66312e-05,6.099852108647261e-06,7.7875e-05,0.000105625,20
64,1024,8.47085e-05,3.64513717163017e-06,7.8834e-05,9.1708e-05,20
1,2048,0.00016431455,8.011948915115538e-06,0.000153875,0.000178084,20
2,2048,0.0001635001,9.751354167229126e-06,0.000152542,0.000179459,20
4,2048,0.0001662333,1.007941719858633e-05,0.000153666,0.000186292,20
8,2048,0.0001620896,7.841434531754347e-06,0.000152416,0.000179791,20
16,2048,0.00016608125,9.541101954866528e-06,0.000153041,0.000185791,20
32,2048,0.00016849595,1.3169826308549722e-05,0.000151708,0.0001995,20
64,2048,0.00015820409999999999,7.262305773469501e-06,0.000149958,0.000178417,20
1,4096,0.00032253955,1.6975850036774377e-05,0.00029875,0.00036275,20
2,4096,0.00032070005,1.5266435141994898e-05,0.000302333,0.000356792,20
4,4096,0.00032254385,1.9930062226313722e-05,0.000287416,0.000372084,20
8,4096,0.00031857905,1.3180018762365846e-05,0.000297792,0.000349167,20
16,4096,0.000323075,1.5804418246340583e-05,0.000308042,0.000366792,20
32,4096,0.00032132305,1.6249017040634857e-05,0.000304375,0.000365375,20
64,4096,0.00031393315,1.8090555169610937e-05,0.000301125,0.000372542,20
1,8192,0.00066488335,3.990784448052261e-05,0.000620959,0.000771042,20
2,8192,0.0006444291,3.3171239519388343e-05,0.000616042,0.000725875,20
4,8192,0.0006447293,2.5536255660695858e-05,0.000619042,0.000700459,20
8,8192,0.00065116465,2.9205810693070545e-05,0.000614541,0.000716542,20
16,8192,0.0006529687,2.612432215207245e-05,0.000612125,0.000697542,20
32,8192,0.0006747959,3.855610689549505e-05,0.000622,0.000764417,20
64,8192,0.000655425,3.020715166801957e-05,0.000619417,0.000731292,20
1,16384,0.001338237,5.953367495530754e-05,0.00127483,0.00147454,20
2,16384,0.001330566,3.828034639341708e-05,0.00127221,0.00140687,20
4,16384,0.0013408475,4.358793699311531e-05,0.00128479,0.00144258,20
8,16384,0.0013469615,6.548733371102346e-05,0.00126296,0.00150208,20
16,16384,0.0013198245,5.553320329458671e-05,0.00127517,0.00148813,20
32,16384,0.0013379795,4.461225043875872e-05,0.0012915,0.00146213,20
64,16384,0.001357314,5.2267984303566706e-05,0.00129471,0.00144612,20
1,32768,0.0027846585,0.00016597726852208598,0.00263546,0.00319283,20
2,32768,0.0027266375,8.40732441871842e-05,0.00261767,0.00288563,20
4,32768,0.0027526285,0.00015069151634259826,0.00261421,0.00312367,20
8,32768,0.0027368785,0.00014830071633695037,0.00258638,0.00310004,20
16,32768,0.00278109,0.00012191169383917541,0.00259521,0.00298533,20
32,32768,0.002709241,0.00010992116126426347,0.00259204,0.00299108,20
64,32768,0.0027322315,0.00012206492186645258,0.00258437,0.00300388,20
1,65536,0.0056229065,0.00023214666324443753,0.00538387,0.00610329,20
2,65536,0.005629235,0.00023517645685292292,0.00533217,0.00610933,20
4,65536,0.005589721,0.00022888339412069746,0.0052435,0.00630425,20
8,65536,0.0056062465,0.00024387664164437071,0.0051075,0.00601192,20
16,65536,0.0055811335,0.00032942786109564664,0.00489863,0.00654808,20
