length,avg,stdev,min,max,valid
2,4.294e-07,1.9035352152743256e-07,2.5e-07,1.084e-06,20
4,6.0605e-07,6.943870830110767e-08,5e-07,7.08e-07,20
8,1.0459e-06,8.303639024706674e-08,9.17e-07,1.25e-06,20
16,1.71655e-06,1.7022291113032994e-07,1.5e-06,2.083e-06,20
32,3.03545e-06,1.02296511747906e-07,2.875e-06,3.208e-06,20
64,5.64165e-06,4.38684069870214e-07,5.209e-06,7.25e-06,20
128,1.104375e-05,1.15261998462085e-06,1e-05,1.3792e-05,20
256,2.372715e-05,1.8569962807830568e-06,2.1291e-05,2.6959e-05,20
512,4.45625e-05,2.428384052258447e-06,4.0292e-05,4.975e-05,20
1024,8.69062e-05,4.188833622357121e-06,7.85e-05,9.5125e-05,20
2048,0.0001698708,7.427365868689142e-06,0.000149916,0.000178541,20
4096,0.00032682935,1.4483197045560294e-05,0.000298708,0.00034675,20
8192,0.00067100625,2.743177124752093e-05,0.000621042,0.000724917,20
16384,0.001348476,5.4961104849846203e-05,0.00125133,0.00150133,20
32768,0.002803646,0.00010107025807510544,0.00261042,0.00307321,20
65536,0.00565624,9.92396567061671e-05,0.00547967,0.005896,20
131072,0.01189953,0.0003075577362998609,0.011497,0.0127077,20
262144,0.024378395,0.0015587070844892065,0.0231354,0.0304865,20
524288,0.05024658,0.0013473726986445262,0.0475607,0.053944,20
1048576,0.10505906,0.007475071221445598,0.0987011,0.134954,20
2097152,0.21104635,0.005506594508548721,0.201546,0.222829,20
4194304,0.4533781,0.01822246228350285,0.4182,0.483219,20
8388608,0.9026703,0.028793340736138432,0.850159,1.00065,20
16777216,1.8861080000000001,0.051192651466890504,1.80387,2.01355,20
33554432,3.8775365,0.11120738541713768,3.66675,4.10507,20
