length,avg,stdev,min,max,valid
2,1.2915e-07,7.145869252121889e-08,0.0,2.5e-07,20
4,1.5624999999999999e-07,5.2125228763854946e-08,4.2e-08,2.92e-07,20
8,2.459e-07,5.0291675569411556e-08,1.67e-07,3.75e-07,20
16,3.7085e-07,7.992777990160867e-08,2.5e-07,5.83e-07,20
32,5.4365e-07,5.6400144643338234e-08,4.58e-07,6.66e-07,20
64,9.624999999999999e-07,8.103508012290922e-08,8.33e-07,1.167e-06,20
128,1.6562e-06,6.74923777372792e-08,1.541e-06,1.75e-06,20
256,3.2355e-06,2.1511331163390444e-07,3.084e-06,4.125e-06,20
512,6.5562e-06,1.0503062210111578e-07,6.333e-06,6.792e-06,20
1024,1.43667e-05,1.2618916919075354e-06,1.3917e-05,1.9708e-05,20
2048,3.203555e-05,1.1525763577855984e-06,3.075e-05,3.5916e-05,20
4096,7.167295e-05,1.5371121780366e-05,6.5709e-05,0.000136583,20
8192,0.00014167905,6.345027489260681e-06,0.000136833,0.00016425,20
16384,0.00030346665,6.52507638410625e-06,0.000294,0.000318708,20
32768,0.00064681025,1.3023096272129675e-05,0.000626542,0.000680083,20
65536,0.0012847565,1.4125943387220123e-05,0.00126079,0.00130704,20
131072,0.002774698,3.686163382734207e-05,0.00272292,0.002879,20
262144,0.0060593455000000004,7.979243681841691e-05,0.00595471,0.00630687,20
524288,0.01285019,9.496763382165643e-05,0.0126667,0.0130355,20
1048576,0.027955135,0.00023239860103528576,0.0274658,0.028415,20
2097152,0.063434985,0.0043832190322296224,0.0616257,0.0816493,20
4194304,0.14095415,0.008259330636029967,0.136484,0.174875,20
8388608,0.30111735,0.011716334756834602,0.293997,0.343465,20
16777216,0.6384686,0.016815292204919948,0.628092,0.702668,20
33554432,1.309221,0.0065967718580657595,1.30325,1.32799,20
