length,avg,stdev,min,max,valid
2,4.4175e-07,2.1820677663267254e-07,2.09e-07,1.125e-06,20
4,5.751e-07,9.896671423421003e-08,4.16e-07,7.92e-07,20
8,8.687e-07,1.047905680769731e-07,7.5e-07,1.166e-06,20
16,1.5769999999999999e-06,1.249896837848291e-07,1.416e-06,1.917e-06,20
32,3.0375e-06,6.545349896159707e-07,2.584e-06,5.708e-06,20
64,5.18555e-06,4.983083462021651e-07,4.583e-06,6.792e-06,20
128,1.175835e-05,3.0628656563661697e-06,8.958e-06,1.9208e-05,20
256,2.751675e-05,3.1244955445471094e-06,2.1167e-05,3.6084e-05,20
512,4.849175e-05,4.154991555821428e-06,4.2125e-05,5.875e-05,20
1024,8.72479e-05,7.643480998795469e-06,7.5e-05,9.9625e-05,20
2048,0.00016705005,1.5467202211794035e-05,0.000149917,0.000196792,20
4096,0.0003220333,1.7500842572498278e-05,0.000297416,0.000359625,20
8192,0.00065213535,2.7757539423930446e-05,0.000610708,0.000713833,20
16384,0.0013815065,0.0001043704223717267,0.00126258,0.00168758,20
32768,0.002734426,8.649421808482495e-05,0.00261454,0.00290333,20
65536,0.0056361515000000004,0.0001336752566670437,0.00544604,0.00595292,20
131072,0.012057485,0.0004973192962219915,0.0113117,0.0134828,20
262144,0.03028302,0.020979063372489903,0.0228667,0.115705,20
524288,0.04955709,0.0013024670691462901,0.0478814,0.0521517,20
1048576,0.102510995,0.0027565776257554918,0.0987357,0.110536,20
